index-SBgTUTBi.js:451 🔄 UNIFIED PIPELINE: Events: 2611 Incidents: 7400
index-SBgTUTBi.js:451 🏠 HOME LOCATION: Caloundra, Sunshine Coast Regional 4551, Queensland COORDINATES: {lat: -26.7981633, lon: 153.1354434} RADIUS: 50km
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:c259f00c-49c3-4f37-8a81-1dae1399fe90', title: 'RESCUE ROAD CRASH - GLADSTONE BENARABY RD, TOOLOOA', location: 'GLADSTONE BENARABY RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:c6473cc8-4f18-4c11-bbd3-4b26b7a9b8b3', title: 'RESCUE ROAD CRASH - TOOWOOMBA ATHOL RD, WESTBROOK', location: 'TOOWOOMBA ATHOL RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:b4f1b5a6-b253-41d6-8e75-e49847079b02', title: 'FIRE VEGETATION - MALBON SELWYN RD, KURIDALA', location: 'MALBON SELWYN RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3970f87c-79a9-40fd-a376-b3a7c5e0bd31', title: 'RESCUE ROAD CRASH - PATRICK ST & BELSON ST, MALANDA', location: 'PATRICK ST & BELSON ST', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:96e3556b-b325-47a9-b7f9-9797025257fa', title: 'HAZMAT ALL - MONS RD & PARSONS RD, FOREST GLEN', location: 'MONS RD & PARSONS RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:071be12f-4ed1-4557-9e4f-f5fba0a43aac', title: 'FIRE VEGETATION - Stephens Rd, SOUTH BRISBANE', location: 'Stephens Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:11d4606d-8577-46ab-af4a-de1edf625b3c', title: 'RESCUE ROAD CRASH - EXETER ST, TORQUAY', location: 'EXETER ST', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:198fa570-522d-4aac-b234-9b4f780d7ae8', title: 'FIRE VEHICLE - Bruce Hwy, BALBERRA', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:73ccbfe3-6a26-4533-99ab-1430f12bbcf9', title: 'FIRE VEGETATION - Bruce Hwy & Mount Alma Rd, EAST END', location: 'Bruce Hwy & Mount Alma Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:7ba3c4c8-6e7b-4ebe-9c11-0db40400d038', title: 'RESCUE ROAD CRASH - BRENTWOOD DR, DAISY HILL', location: 'BRENTWOOD DR', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:58806f99-f48f-4be9-9083-ebd2df968ac2', title: 'FIRE STRUCTURE - Waverley Rd, TARINGA', location: 'Waverley Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:b431074b-1e58-4d5e-9ee6-cd68ae7c5146', title: 'FIRE VEGETATION - Unknown, BYERSTOWN', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:2b277236-e5c1-4c39-ab0b-a08771f0f486', title: 'FIRE VEGETATION - SOUTHERN PORT RD, STUART', location: 'SOUTHERN PORT RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:476786f6-d46b-4910-a0c7-a2b5603c4564', title: 'FIRE VEGETATION - Coralie Rd, CROYDON', location: 'Coralie Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:83796eb4-b7e2-4d4c-a412-6f68b86866bb', title: 'FIRE VEGETATION - Glebe Weir Rd, SPRING CREEK', location: 'Glebe Weir Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:29f1c8e9-f7e5-4627-8eae-88510d092f9e', title: 'FIRE VEGETATION - Potosi Rd, MUTTABURRA', location: 'Potosi Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:db482e62-c5cf-41cf-9915-8cbc8601e5da', title: 'FIRE VEGETATION - Barkly Hwy, GUNPOWDER', location: 'Barkly Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:3f034250-c015-4980-8469-285586296913', title: 'FIRE VEGETATION - Barngo Rd, UPPER WARREGO', location: 'Barngo Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:9ab9ca1d-142d-4635-afe5-2b8dd37112fc', title: 'FIRE VEGETATION - Nymbool Rd, MOUNT GARNET', location: 'Nymbool Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:8e6ee531-b064-48f9-b939-12e97366777b', title: 'FIRE PERMITTED BURN - Murray Falls Rd, MURRAY UPPER', location: 'Murray Falls Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:5d50210b-460b-4377-b627-1875a279cc57', title: 'FIRE VEGETATION - Bruce Hwy, EAST END', location: 'Bruce Hwy', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:276c0637-c6e5-4fec-8e08-c999a9291457', title: 'FIRE VEHICLE - Dawson Hwy & Duck Holes Rd, MOUNT ALMA', location: 'Dawson Hwy & Duck Holes Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:5e11c01d-e795-46b6-92ad-8ce483f154e3', title: 'FIRE VEGETATION - Unnamed Opalton Rd, OPALTON', location: 'Unnamed Opalton Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:92a56985-0878-4c99-a123-c98115ea1e2a', title: 'FIRE VEGETATION - Unknown, GIDYA', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:a07ca170-4601-4d66-932a-459ad86711d7', title: 'FIRE VEGETATION - POISON LAKE RD, GREENVALE', location: 'POISON LAKE RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:e5c9c266-0255-423b-adf1-193e24144f9f', title: 'FIRE VEGETATION - BRUCE HWY & FAIRVIEW RD, EAST END', location: 'BRUCE HWY & FAIRVIEW RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:1ffde35e-6d0a-4a4d-bc33-390c64b1889f', title: 'FIRE VEGETATION - Wallace Dr, MAREEBA', location: 'Wallace Dr', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:7f8186b7-78b0-42b0-a357-635ebda1e6fc', title: 'FIRE VEGETATION - Unknown, CROYDON #5', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:47e2c20c-21b1-4a54-a2d6-f83c6e8b5883', title: 'FIRE VEGETATION - Oleander Dr, PARKLANDS', location: 'Oleander Dr', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:568d1e88-7cf0-4e46-89a3-ea6f790890f0', title: 'FIRE VEGETATION - CULLENDORE RD & BORDER FENCE RD, ELBOW VALLEY', location: 'CULLENDORE RD & BORDER FENCE RD', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:9f69f8f3-b0d8-4a46-b0e3-74d7a39438a4', title: 'FIRE VEGETATION - Unknown, CROYDON #6', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:ba2138df-683b-4166-bcb0-ea2658560c31', title: 'FIRE VEGETATION - Lucke Rd & Lake Rd, BRACEWELL', location: 'Lucke Rd & Lake Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:203aef09-7285-460a-ad3d-e13c74bdcca4', title: 'FIRE VEGETATION - Unknown, CROYDON', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:196a6b53-abd4-4f93-8639-ac373e706239', title: 'FIRE VEGETATION - Unknown, CROYDON #4', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:0922bbb7-699b-4e33-ad14-68949f41392f', title: 'FIRE VEGETATION - Unknown, CROYDON #3', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:cbfc4520-c01f-434a-90c7-42d0c5777912', title: 'FIRE VEGETATION - Unknown, CROYDON #2', location: 'Unknown', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:495667d1-e942-4dcd-945b-331ee440a98d', title: 'FIRE VEGETATION - Richmond Winton Rd & Olio Fairview Rd, KYNUNA', location: 'Richmond Winton Rd & Olio Fairview Rd', hasCoordinates: true}
index-SBgTUTBi.js:451 👤 USER INCIDENT: {id: 'user:b8bcdeb0-c543-414b-a2f7-fc56add41507', title: 'FIRE VEGETATION - Forestvale Rd, FORESTVALE', location: 'Forestvale Rd', hasCoordinates: true}
